NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFABuilding(s),ENERGYSTARScore,Latitude,Longitude,BuildingAge,RT_Avenue,RT_Other,RT_Street,RT_Way,PP_K-12 School,PP_Large Office,PP_Mixed Use Property,PP_Non-Refrigerated Warehouse,PP_Other,PP_Retail Store,PP_Small- and Mid-Sized Office,PP_Warehouse,SiteEnergyUse(kBtu),TotalGHGEmissions
0.0,1.0,94713.0,94713.0,79.0,47.53655,-122.36377,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5417598.0,94.74
1.0,2.0,537000.0,537000.0,63.75,47.64835098,-122.3616099,70.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61984596.0,2205.24
1.0,3.0,428347.0,428347.0,88.25,47.61748356,-122.321853,91.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37022180.0,1280.81
1.0,2.0,60122.0,60122.0,61.75,47.60963749,-122.3150317,99.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,552729.0,3.85
1.0,56.0,1605578.0,1215718.0,97.0,47.61001362,-122.3323936,26.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48342560.0,496.99
1.0,2.0,27273.0,27273.0,90.0,47.64063,-122.30428,91.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1258619.125,46.7
1.0,2.0,31000.0,31000.0,46.0,47.58473587,-122.30489349,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4038090.0,29.24
1.0,1.0,25577.0,25577.0,41.75,47.56477,-122.32628,55.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,895784.6875,14.19
1.0,1.0,18261.0,18261.0,46.5,47.54067,-122.37441,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,932082.125,20.33
1.0,3.0,27085.0,27085.0,75.0,47.66843058,-122.3818353,106.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1960558.0,57.41
1.0,5.0,102930.0,84210.0,84.0,47.61946053,-122.3563784,41.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4656777.0,60.02
1.0,1.0,23562.0,23562.0,95.0,47.53442484,-122.3770926,58.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,550767.0,3.84
5.0,1.0,57952.0,57952.0,89.5,47.51885,-122.33421,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3091387.5,96.15
1.0,4.0,38038.0,38038.0,84.0,47.62055,-122.33881,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2003807.75,13.97
1.0,5.0,73399.0,73399.0,61.0,47.61256,-122.33808,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3757006.0,26.19
1.0,1.0,26150.0,26150.0,6.0,47.54948,-122.32536,54.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1208407.625,26.55
1.0,1.0,32000.0,32000.0,46.5,47.66621,-122.37502,55.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1331122.125,45.38
0.0,3.0,54863.0,54863.0,100.0,47.58767,-122.38672,55.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2037720.625,14.21
1.0,1.0,35000.0,35000.0,49.0,47.54809189,-122.32540894,51.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400054.0,2.79
0.0,2.0,64820.0,64820.0,76.0,47.61438,-122.32174,104.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2274296.75,29.4
1.0,9.0,46710.0,46710.0,87.0,47.61048,-122.32837,28.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4169431.5,130.69
